date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:25:40	23477/23477	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jan%202019%2018:17:28%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-4-17572bb01d6aae0d7aee491760d304ade8fe764a58bbc0ed44f6437a7c529b72.png	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-4-17572bb01d6aae0d7aee491760d304ade8fe764a58bbc0ed44f6437a7c529b72.png	(from https://dribbble.com/year/2018)
12:26:40	6817499/6817499	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Jan%202019%2018:17:32%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-1-7c18f0eac73d14a1b5f86a85f8227b0f2f6460933b4e1186250806299b1b68c8.gif	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-1-7c18f0eac73d14a1b5f86a85f8227b0f2f6460933b4e1186250806299b1b68c8.gif	(from https://dribbble.com/year/2018)
12:26:42	46878/46878	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jan%202019%2018:17:30%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-6-3151c1550ac13e335280b34c4479e03739f7854269dd59714cac1cef1f583ba7.png	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-6-3151c1550ac13e335280b34c4479e03739f7854269dd59714cac1cef1f583ba7.png	(from https://dribbble.com/year/2018)
12:26:44	129964/129964	---M--	200	added ('OK')	image/jpeg	date:Mon,%2014%20Jan%202019%2018:17:27%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-7-d7130c43948fe8ae7fb693bad849e759429cef25275782be6c83739792b77ca3.jpg	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-7-d7130c43948fe8ae7fb693bad849e759429cef25275782be6c83739792b77ca3.jpg	(from https://dribbble.com/year/2018)
12:26:46	88706/88706	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jan%202019%2018:17:32%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-8-71e7101b6d8eb701de88f4eb60879c677e138cbf6a396519dd4fc494f727c8bc.png	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-8-71e7101b6d8eb701de88f4eb60879c677e138cbf6a396519dd4fc494f727c8bc.png	(from https://dribbble.com/year/2018)
12:27:00	7942046/7942046	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Jan%202019%2018:17:27%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-3-6b9aefc35b65fc34ca97c5089e51fb43e79efa7d52198b52818474e5675b1f43.gif	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-3-6b9aefc35b65fc34ca97c5089e51fb43e79efa7d52198b52818474e5675b1f43.gif	(from https://dribbble.com/year/2018)
12:27:42	2060675/2060675	---M--	200	added ('OK')	image/gif	date:Mon,%2014%20Jan%202019%2018:17:24%20GMT	https://cdn.dribbble.com/assets/year-in-review/courtside/courtside-10-6bed5ecf50b4cd77b7908d06df1487e859517c7cf49c8f89aee97690db99ced8.gif	D:/nidhi/cdn.dribbble.com/assets/year-in-review/courtside/courtside-10-6bed5ecf50b4cd77b7908d06df1487e859517c7cf49c8f89aee97690db99ced8.gif	(from https://dribbble.com/year/2018)
12:27:47	302044/302044	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jan%202019%2018:17:28%20GMT	https://cdn.dribbble.com/assets/year-in-review/overtime/andy-j-miller-c2c1a2e6194a85a26fdddda6047e4d423c31972da02b103c6ababb94c364dcdd.png	D:/nidhi/cdn.dribbble.com/assets/year-in-review/overtime/andy-j-miller-c2c1a2e6194a85a26fdddda6047e4d423c31972da02b103c6ababb94c364dcdd.png	(from https://dribbble.com/year/2018)
12:27:50	231996/231996	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jan%202019%2018:17:32%20GMT	https://cdn.dribbble.com/assets/year-in-review/overtime/debbie-millman-b85c928db2c559bc8cea66d9b2cedf5abc3e1c824eefa070c7875fdb1b92772d.png	D:/nidhi/cdn.dribbble.com/assets/year-in-review/overtime/debbie-millman-b85c928db2c559bc8cea66d9b2cedf5abc3e1c824eefa070c7875fdb1b92772d.png	(from https://dribbble.com/year/2018)
12:27:56	228517/228517	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Jan%202019%2018:17:27%20GMT	https://cdn.dribbble.com/assets/year-in-review/overtime/jim-coudal-f04311f61e82f147479d43ce3bdcef3afb4a0afcb7ce0617b1825eba9ce7296b.png	D:/nidhi/cdn.dribbble.com/assets/year-in-review/overtime/jim-coudal-f04311f61e82f147479d43ce3bdcef3afb4a0afcb7ce0617b1825eba9ce7296b.png	(from https://dribbble.com/year/2018)
